timestamp,side,mean_joint_error_rad,ee_pos_error_m,j1_orig,j2_orig,j3_orig,j4_orig,j5_orig,jg_orig,j1_sol,j2_sol,j3_sol,j4_sol,j5_sol,jg_sol
1772536790866861372,left,0.332012,0.033926,-0.0376,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0403,-1.4888,0.7873,-0.0123,-0.0092,-0.1486
1772536790904928627,left,0.327067,0.033854,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0391,-1.5091,0.8027,0.0018,-0.0062,-0.1527
1772536790906623022,right,0.119087,0.001565,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0406,-1.1914,1.4658,-0.0637,-0.0763,-0.3922
1772536790908524302,left,0.332951,0.034076,-0.0391,-1.1208,1.4876,-0.3452,-0.0115,0.4358,-0.0410,-1.4924,0.7855,-0.0151,-0.0094,-0.1542
1772536790910787790,right,0.117529,0.001668,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0372,-1.1953,1.5400,-0.0449,-0.0771,-0.3882
1772536790925086065,left,0.327927,0.033995,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0392,-1.5113,0.8031,0.0019,-0.0075,-0.1559
1772536790926256600,right,0.119829,0.001943,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0396,-1.1875,1.4702,-0.0609,-0.0789,-0.3919
1772536790928196358,left,0.333838,0.034221,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0406,-1.4940,0.7852,-0.0157,-0.0097,-0.1574
1772536790930265648,right,0.124972,0.003192,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0448,-1.1755,1.5300,-0.0127,-0.0769,-0.3980
1772536790944116283,left,0.328715,0.034084,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0389,-1.5127,0.8025,0.0012,-0.0077,-0.1590
1772536790945806185,right,0.114253,0.000657,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0368,-1.1975,1.4476,-0.0514,-0.0777,-0.4015
1772536790947547828,left,0.334469,0.034287,-0.0376,-1.1208,1.4891,-0.3452,-0.0100,0.4358,-0.0392,-1.4951,0.7844,-0.0166,-0.0087,-0.1606
1772536790949598856,right,0.122469,0.002641,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0387,-1.2045,1.5292,-0.0441,-0.0775,-0.3981
1772536790963325216,left,0.329520,0.034177,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0394,-1.5141,0.8004,-0.0014,-0.0074,-0.1633
1772536790965217545,right,0.121666,0.002549,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0373,-1.1795,1.4698,-0.0545,-0.0776,-0.4032
